,0
0,Tiny+Small
1,Large+Mature
2,apparent_temperature_max
3,rain_sum
4,precipitation_hours
5,windgusts_10m_max
6,soil_moisture_28_to_100cm
7,lag_Tiny+Small_1
8,lag_Tiny+Small_2
9,lag_Tiny+Small_3
10,lag_Tiny+Small_4
11,lag_Tiny+Small_5
12,lag_Tiny+Small_6
13,lag_Tiny+Small_7
14,lag_Tiny+Small_8
15,lag_Tiny+Small_9
16,lag_Tiny+Small_10
17,lag_Tiny+Small_11
18,lag_Large+Mature_2
19,lag_Large+Mature_3
20,lag_Large+Mature_4
21,lag_Large+Mature_5
22,lag_Large+Mature_6
23,lag_Large+Mature_7
24,lag_Large+Mature_8
25,lag_Large+Mature_9
26,lag_Large+Mature_10
27,lag_Large+Mature_11
28,lag_Large+Mature_12
29,lag_apparent_temperature_max_1
30,lag_apparent_temperature_max_5
31,lag_apparent_temperature_max_6
32,lag_apparent_temperature_max_7
33,lag_apparent_temperature_max_8
34,lag_apparent_temperature_max_9
35,lag_apparent_temperature_min_8
36,lag_apparent_temperature_min_10
37,lag_precipitation_hours_1
38,lag_precipitation_hours_2
39,lag_windspeed_10m_max_2
40,lag_windspeed_10m_max_10
41,lag_windgusts_10m_max_2
42,lag_windgusts_10m_max_3
43,lag_windgusts_10m_max_4
44,lag_windgusts_10m_max_5
45,lag_windgusts_10m_max_6
46,lag_windgusts_10m_max_7
47,lag_windgusts_10m_max_8
48,lag_shortwave_radiation_sum_6
49,lag_shortwave_radiation_sum_7
50,lag_soil_temperature_100_to_255cm_2
51,lag_soil_temperature_100_to_255cm_4
52,lag_soil_temperature_100_to_255cm_6
53,lag_soil_temperature_100_to_255cm_12
54,lag_soil_moisture_28_to_100cm_8
