,Model,target,rmse_mean,rmse_std,wmape_mean,wmape_std,mae_mean,mae_std,r2_mean,r2_std
0,Auto-arima,Tiny+Small_+1,16.74354814269429,0.0,0.7830139666974334,0.0,12.522466011521454,0.0,-0.25639267254858167,0.0
1,Auto-arima,Large+Mature_+1,13.426158800478111,0.0,0.36402623946898977,0.0,10.307831236728527,0.0,0.713986770134176,0.0
2,Auto-arima,Tiny+Small_+2,16.766269577627853,0.0,0.7659388011478514,0.0,13.07727864900964,0.0,-0.16000707388602464,0.0
3,Auto-arima,Large+Mature_+2,19.68453089892362,0.0,0.5983805650258796,0.0,16.02427954282539,0.0,0.3574695209506328,0.0
4,Auto-arima,Tiny+Small_+3,22.52340861104189,0.0,0.8219385666665706,0.0,16.86182794852744,0.0,-0.5662515616067287,0.0
5,Auto-arima,Large+Mature_+3,21.235628024194106,0.0,0.9820137658748714,0.0,17.0985926293507,0.0,-1.1383349205240636,0.0
6,Auto-arima,Tiny+Small_+4,28.326515106617364,0.0,0.716376513592711,0.0,19.96372784203217,0.0,-0.5917767506876079,0.0
7,Auto-arima,Large+Mature_+4,20.344190377430156,0.0,1.0662995307164331,0.0,15.822003330777662,0.0,-2.0441949237540467,0.0
8,Auto-arima,Tiny+Small_+5,31.565842770972814,0.0,0.7009293087397885,0.0,21.656654083269054,0.0,-0.57182123240144,0.0
9,Auto-arima,Large+Mature_+5,22.310235995746527,0.0,1.2121465638239988,0.0,18.32480393545692,0.0,-2.966546059580767,0.0
10,Auto-arima,Tiny+Small_+6,26.05232608856114,0.0,0.5540145937839804,0.0,19.56160352463731,0.0,0.15887045197457628,0.0
11,Auto-arima,Large+Mature_+6,27.4319544337128,0.0,0.9924093553773189,0.0,21.76003454217033,0.0,-1.8354777464774155,0.0
