,target,rmse,wmape,r2,mae
0,Tiny+Small_+1,16.74354814269429,0.7830139666974334,-0.25639267254858167,12.522466011521454
1,Tiny+Small_+2,16.766269577627853,0.7659388011478514,-0.16000707388602464,13.07727864900964
2,Tiny+Small_+3,22.52340861104189,0.8219385666665706,-0.5662515616067287,16.86182794852744
3,Tiny+Small_+4,28.326515106617364,0.716376513592711,-0.5917767506876079,19.96372784203217
4,Tiny+Small_+5,31.565842770972814,0.7009293087397885,-0.57182123240144,21.656654083269054
5,Tiny+Small_+6,26.05232608856114,0.5540145937839804,0.15887045197457628,19.56160352463731
6,Large+Mature_+1,13.426158800478111,0.36402623946898977,0.713986770134176,10.307831236728527
7,Large+Mature_+2,19.68453089892362,0.5983805650258796,0.3574695209506328,16.02427954282539
8,Large+Mature_+3,21.235628024194106,0.9820137658748714,-1.1383349205240636,17.0985926293507
9,Large+Mature_+4,20.344190377430156,1.0662995307164331,-2.0441949237540467,15.822003330777662
10,Large+Mature_+5,22.310235995746527,1.2121465638239988,-2.966546059580767,18.32480393545692
11,Large+Mature_+6,27.4319544337128,0.9924093553773189,-1.8354777464774155,21.76003454217033
